Top 40 Intersections (January 2017),,
,,
Rank,Location,Vehicle Exposure
1,PORT WAKEFIELD ROAD / SALISBURY HIGHWAY,"113,500"
2,MAIN SOUTH ROAD / STURT ROAD,"98,400"
3,GROTE STREET / SIR DONALD BRADMAN DRIVE / WEST TERRACE,"91,700"
4,ANZAC HIGHWAY / SOUTH ROAD,"91,400"
5,AYLIFFES ROAD / MAIN SOUTH ROAD / SHEPHERDS HILL ROAD / SOUTH ROAD,"87,900"
6,ADAM STREET / PARK TERRACE / PORT ROAD,"84,300"
7,NORTH EAST ROAD / SUDHOLZ ROAD,"81,900"
8,GRAND JUNCTION ROAD / MAIN NORTH ROAD / PORT WAKEFIELD ROAD,"80,600"
9,FLINDERS DRIVE / MAIN SOUTH ROAD,"80,200"
10,FITZROY TERRACE / JEFFCOTT ROAD / PARK TERRACE / TORRENS ROAD,"79,200"
11,KINGS ROAD / MAIN NORTH ROAD / MCINTYRE ROAD,"77,900"
12,MAIN SOUTH ROAD / SOUTHERN EXPRESSWAY,"77,800"
13,CURRIE STREET / GLOVER AVENUE / WEST TERRACE,"76,800"
14,PORT ROAD / SOUTH ROAD,"76,600"
15,MAIN NORTH ROAD / SAINTS ROAD / THE GROVE WAY,"75,700"
16,DAWS ROAD / SOUTH ROAD,"75,400"
17,ANZAC HIGHWAY / GREENHILL ROAD / RICHMOND ROAD,"74,600"
18,LOWER PORTRUSH ROAD / PAYNEHAM ROAD / PORTRUSH ROAD,"73,200"
19,GREENHILL ROAD / UNLEY ROAD,"73,100"
20,FULLARTON ROAD / GREENHILL ROAD,"73,100"
21,CROSS ROAD / SOUTH ROAD,"72,600"
22,CROSS ROAD / GLEN OSMOND ROAD / PORTRUSH ROAD / SOUTH EASTERN FREEWAY,"72,300"
23,MAIN NORTH ROAD / MONTAGUE ROAD,"71,900"
24,MAIN NORTH ROAD / REGENCY ROAD,"71,600"
25,SIR DONALD BRADMAN DRIVE / SOUTH ROAD,"71,400"
26,BOTANIC ROAD / DEQUETTEVILLE TERRACE / HACKNEY ROAD / NORTH TERRACE,"71,100"
27,HENLEY BEACH ROAD / SOUTH ROAD,"70,900"
28,DAWS ROAD / MARION ROAD / OAKLANDS ROAD,"70,400"
29,MARION ROAD / STURT ROAD,"69,700"
30,RICHMOND ROAD / SOUTH ROAD,"69,700"
31,GLEN OSMOND ROAD / GREENHILL ROAD,"69,100"
32,FITZROY TERRACE / MAIN NORTH ROAD / ROBE TERRACE,"68,900"
33,MAIN NORTH ROAD / PHILIP HIGHWAY / YORKTOWN ROAD,"68,700"
34,ELDER SMITH ROAD / MAIN NORTH ROAD / MAXWELL ROAD,"68,600"
35,JOHN RICE AVENUE / MAIN NORTH ROAD,"68,500"
36,GEORGE STREET / JAMES CONGDON DRIVE / PORT ROAD,"67,900"
37,ANZAC HIGHWAY / GOODWOOD ROAD / SOUTH TERRACE / WEST TERRACE,"67,200"
38,ANZAC HIGHWAY / MARION ROAD,"66,700"
39,CAVAN ROAD / CHURCHILL ROAD / GRAND JUNCTION ROAD,"66,300"
40,REGENCY ROAD / SOUTH ROAD,"66,300"
