"""Top 40"" at grade Intersections (January 2018)",,
,,
Rank,Location,Vehicle Exposure
1,MAIN SOUTH ROAD / STURT ROAD,"98,400"
2,GROTE STREET / SIR DONALD BRADMAN DRIVE / WEST TERRACE,"91,700"
3,ADAM STREET / PARK TERRACE / PORT ROAD,"84,300"
4,AYLIFFES ROAD / MAIN SOUTH ROAD / SHEPHERDS HILL ROAD / SOUTH ROAD,"83,700"
5,NORTH EAST ROAD / SUDHOLZ ROAD,"81,900"
6,GRAND JUNCTION ROAD / MAIN NORTH ROAD / PORT WAKEFIELD ROAD,"80,600"
7,FLINDERS DRIVE / MAIN SOUTH ROAD,"80,200"
8,KINGS ROAD / MAIN NORTH ROAD / MCINTYRE ROAD,"77,900"
9,FULLARTON ROAD / GREENHILL ROAD,"76,900"
10,CURRIE STREET / GLOVER AVENUE / WEST TERRACE,"76,800"
11,PORT ROAD / SOUTH ROAD,"76,600"
12,FITZROY TERRACE / JEFFCOTT ROAD / PARK TERRACE / TORRENS ROAD,"75,600"
13,DAWS ROAD / SOUTH ROAD,"75,400"
14,MAIN NORTH ROAD / SAINTS ROAD / THE GROVE WAY,"75,400"
15,ANZAC HIGHWAY / GREENHILL ROAD / RICHMOND ROAD,"74,600"
16,LOWER PORTRUSH ROAD / PAYNEHAM ROAD / PORTRUSH ROAD,"73,200"
17,GREENHILL ROAD / UNLEY ROAD,"73,100"
18,MAIN NORTH ROAD / MONTAGUE ROAD,"71,900"
19,MAIN NORTH ROAD / REGENCY ROAD,"71,600"
20,MAIN SOUTH ROAD / SOUTHERN EXPRESSWAY,"71,500"
21,SIR DONALD BRADMAN DRIVE / SOUTH ROAD,"71,400"
22,BOTANIC ROAD / DEQUETTEVILLE TERRACE / HACKNEY ROAD / NORTH TERRACE,"71,100"
23,HENLEY BEACH ROAD / SOUTH ROAD,"70,900"
24,DAWS ROAD / MARION ROAD / OAKLANDS ROAD,"70,400"
25,BLACK TOP ROAD / MAIN NORTH ROAD,"70,000"
26,CROSS ROAD / GLEN OSMOND ROAD / PORTRUSH ROAD / SOUTH EASTERN FREEWAY,"69,800"
27,MARION ROAD / STURT ROAD,"69,700"
28,RICHMOND ROAD / SOUTH ROAD,"69,700"
29,GLEN OSMOND ROAD / GREENHILL ROAD,"69,100"
30,ANZAC HIGHWAY / MARION ROAD,"69,100"
31,MAIN NORTH ROAD / PHILIP HIGHWAY / YORKTOWN ROAD,"68,700"
32,ELDER SMITH ROAD / MAIN NORTH ROAD / MAXWELL ROAD,"68,600"
33,FITZROY TERRACE / MAIN NORTH ROAD / ROBE TERRACE,"68,600"
34,JOHN RICE AVENUE / MAIN NORTH ROAD,"68,500"
35,GEORGE STREET / JAMES CONGDON DRIVE / PORT ROAD,"67,900"
36,ANZAC HIGHWAY / GOODWOOD ROAD / SOUTH TERRACE / WEST TERRACE,"67,200"
37,ELDER SMITH ROAD / SALISBURY HIGHWAY / ELDER SMITH ROAD,"66,500"
38,CAVAN ROAD / CHURCHILL ROAD / GRAND JUNCTION ROAD,"66,300"
39,REGENCY ROAD / SOUTH ROAD,"66,300"
40,GRANGE ROAD / MANTON STREET / SOUTH ROAD,"65,700"
